QC,TI,Re_d,PGrad,TurbTime,PStress,UMisalign,ConvTKE,TauRatio,Curvature,SQUARED_DUCT_RSTRESS,PERIODIC_HILL_RSTRESS
-0.00805383,0.0203681,0.9489,-0.431861,0.697803,0.530162,0.00797577,0.0239455,0.544809,0.0138385,-0.106555,-0.433537
-0.0053815,0.0205548,0.84927,-0.442732,0.718061,0.575265,0.00560014,0.0185601,0.544947,0.0129388,-0.083432,-0.456519
-0.00350912,0.0209075,0.75913,-0.453679,0.739115,0.68856,0.00354639,0.0173356,0.544848,0.0112657,-0.056284,-0.480712
-0.00224933,0.0214583,0.677128,-0.465634,0.76013,0.996178,0.00190014,0.018315,0.544503,0.00867048,-0.025664,-0.506073
-0.00143136,0.0222227,0.601762,-0.476398,0.780232,0.612773,0.000689732,0.0201672,0.543966,0.00537135,0.006744,-0.531816
-0.000910881,0.0231753,0.531395,-0.484507,0.798966,0.419565,0.000142285,0.0219508,0.543327,0.00350637,0.040097,-0.556685
-0.000580122,0.0242235,0.464398,-0.491519,0.816446,0.31521,0.000662793,0.0232026,0.542647,0.00709608,0.072244,-0.580069
-0.000368069,0.0251873,0.39938,-0.496119,0.833035,0.257233,0.000946736,0.023924,0.541921,0.012467,0.101529,-0.602529
-0.000231262,0.0257863,0.335468,-0.498575,0.848936,0.224771,0.00107157,0.0244188,0.541092,0.0182152,0.126294,-0.626159
-0.000143504,0.0256674,0.272707,-0.499544,0.863719,0.207947,0.00110446,0.025061,0.540082,0.0242714,0.1445,-0.653801
-8.81E-05,0.02454,0.212592,-0.499738,0.87603,0.202374,0.00110323,0.0260676,0.538895,0.0310129,0.15457,-0.6879
-5.36E-05,0.0224279,0.158173,-0.499914,0.884147,0.20653,0.00110543,0.0271179,0.537746,0.0389722,0.156483,-0.726426
-3.16E-05,0.0197531,0.11263,-0.499997,0.887154,0.220948,0.00111698,0.0272724,0.536922,0.0483043,0.151585,-0.761816
-1.70E-05,0.0170224,0.0772346,-0.499938,0.885251,0.247252,0.00111955,0.0254285,0.536459,0.0585126,0.141053,-0.788558
-6.90E-06,0.0145344,0.0511534,-0.499661,0.878666,0.287891,0.00109544,0.0210123,0.536222,0.0689905,0.124774,-0.807034
-1.41E-08,0.012381,0.0326193,-0.499595,0.866434,0.346363,0.00103741,0.0141922,0.536095,0.0793691,0.103511,-0.820197
